,target,prime,RT,RT_std,acc,acc_std,path sim
1976,swing,ordinary,498.10869565217394,155.0307823571205,1.0,0.0,0.0833333333333333
1977,swing,license,511.17391304347825,152.506311973688,0.9855072463768116,0.12038585308576917,0.0909090909090909
1978,jungle,ape,516.7826086956521,125.24973518408277,1.0,0.0,0.0769230769230769
1979,jungle,instance,517.0,,1.0,,0.1
1980,jungle,disgrace,494.9032258064516,129.0648216445709,1.0,0.0,0.0833333333333333
1981,jungle,safari,535.8536585365854,231.91782606945176,1.0,0.0,0.0625
1982,jungle,chapel,547.1232876712329,192.03420884524422,1.0,0.0,0.1111111111111111
1983,penny,valor,525.2368421052631,183.65052815395896,1.0,0.0,0.0769230769230769
1984,penny,criticize,505.0,,1.0,,0.0714285714285714
1985,penny,champion,553.7868852459017,136.72589546901233,1.0,0.0,0.0714285714285714
1986,penny,copper,498.39473684210526,127.39161571835992,1.0,0.0,0.0769230769230769
1987,penny,fountain,500.0151515151515,71.75524476660331,0.9848484848484849,0.12309149097933272,0.0714285714285714
1988,clothes,attire,585.8409090909091,210.16581971362166,1.0,0.0,0.3333333333333333
1989,clothes,quantity,729.0,,1.0,,0.1
1990,clothes,costume,512.0540540540541,165.84412794782568,1.0,0.0,0.25
1991,clothes,extravagant,570.876404494382,180.36855073991237,1.0,0.0,0.1
1992,clothes,leadership,623.9722222222222,354.70106327434365,0.9722222222222222,0.16548879560577057,0.0714285714285714
1993,frog,toad,533.3863636363636,157.48461953829175,1.0,0.0,1.0
1994,frog,routine,527.2254901960785,144.2578760046095,0.9901960784313726,0.09901475429766744,0.0555555555555555
1995,frog,biology,543.9487179487179,141.64688279735572,1.0,0.0,0.0476190476190476
1996,frog,innocence,564.5762711864406,208.44053178138003,1.0,0.0,0.0625
1997,innocent,boyfriend,530.2985074626865,140.05908005848633,0.9850746268656716,0.12216944435630518,0.25
1998,innocent,legs,515.4242424242424,84.19880874418233,1.0,0.0,0.0833333333333333
1999,innocent,guilty,539.3870967741935,145.83351379137972,0.989247311827957,0.10369516947304255,0.125
2000,innocent,naive,522.3333333333334,141.22648314048567,1.0,0.0,0.125
2001,innocent,naïve,503.6666666666667,103.19306916556712,1.0,0.0,0.0
2002,example,instance,575.3214285714286,128.85278811609396,1.0,0.0,0.1428571428571428
2003,example,beast,519.0,,1.0,,0.0833333333333333
2004,example,assault,569.723076923077,139.00410377173984,1.0,0.0,0.1111111111111111
2005,example,erupt,561.3924050632911,146.07202453527444,1.0,0.0,0.1111111111111111
2006,example,sample,591.2028985507246,238.53181929253014,1.0,0.0,0.5
2007,washington,george,550.1166666666667,152.92859657277154,1.0,0.0,0.0625
2008,washington,pollution,561.0508474576271,159.49580296378502,0.9661016949152542,0.182520824972938,0.0588235294117647
2009,washington,monument,561.5,181.0082025427442,1.0,0.0,0.0769230769230769
2010,washington,coral,558.1884057971015,168.33355152636673,1.0,0.0,0.0526315789473684
2011,pilot,smother,521.5573770491803,139.73886653208595,1.0,0.0,0.0714285714285714
2012,pilot,society,565.0,,1.0,,0.0833333333333333
2013,pilot,aircraft,543.5483870967741,120.17482893506657,0.9919354838709677,0.08980265101338747,0.0714285714285714
2014,pilot,navigator,529.9310344827586,151.01305416663698,1.0,0.0,0.1428571428571428
2015,evidence,proof,542.7209302325581,129.19002718059775,1.0,0.0,0.5
2016,evidence,plug,605.0,,1.0,,0.0714285714285714
2017,evidence,trace,515.1232876712329,148.0218588592651,1.0,0.0,0.1111111111111111
2018,evidence,corridor,521.4027777777778,119.08851717001407,1.0,0.0,0.0714285714285714
2019,evidence,royal,547.3620689655172,158.6981796373408,1.0,0.0,0.0769230769230769
2020,forever,always,541.5098039215686,100.33511300616941,1.0,0.0,0.3333333333333333
2021,forever,handbag,593.1940298507462,206.5169476357497,1.0,0.0,0.1
2022,forever,life,549.8048780487804,204.72175872248994,0.9878048780487805,0.11043152607484653,0.125
2023,forever,even,560.439024390244,236.20764686822562,1.0,0.0,0.1111111111111111
2024,goo,transparent,559.9454545454546,280.10483607378006,0.9636363636363636,0.1889185954061582,0.1666666666666666
2025,goo,sneeze,269.0,,1.0,,0.1111111111111111
2026,goo,slime,528.8730158730159,223.15700332071228,0.9523809523809523,0.2146693953705459,1.0
2027,goo,slimy,608.8461538461538,280.546552329792,1.0,0.0,0.1666666666666666
2028,goo,anxiety,608.6545454545454,382.769015454385,0.9272727272727272,0.2620817977022989,0.1
2029,salad,potato,509.8333333333333,117.41712030979116,1.0,0.0,0.1428571428571428
2030,salad,dressing,540.5444444444445,145.86843087554067,1.0,0.0,0.1
2031,salad,car,502.140625,136.7258718666603,0.984375,0.125,0.0625
2032,salad,pillow,544.170731707317,129.60630818733793,1.0,0.0,0.0769230769230769
2033,exit,escape,549.5060240963855,210.27753863870157,0.927710843373494,0.26054036390250707,0.0769230769230769
2034,exit,sting,531.7307692307693,255.43949940880367,1.0,0.0,0.0666666666666666
2035,exit,entrance,497.38028169014086,139.19147820766113,1.0,0.0,0.1666666666666666
2036,exit,vacuum,521.3589743589744,124.19540782668324,0.9743589743589743,0.16012815380508713,0.0769230769230769
2037,bag,grab,539.379746835443,209.92900532527221,1.0,0.0,0.1428571428571428
2038,bag,chaos,532.1842105263158,111.64612416582932,1.0,0.0,0.0714285714285714
2039,bag,account,550.5454545454545,253.0874085442347,1.0,0.0,0.0714285714285714
2040,bag,sack,492.9516129032258,155.5444617706456,1.0,0.0,0.5
2041,planet,massage,551.7586206896551,174.71403305239264,0.9827586206896551,0.13130643285972254,0.0625
2042,planet,author,560.3809523809524,171.60395406485029,0.9841269841269841,0.1259881576697424,0.1111111111111111
2043,planet,comet,528.2328767123288,97.4871103371485,1.0,0.0,0.2
2044,planet,venus,555.9183673469388,141.2532944652227,0.9795918367346939,0.14285714285714288,0.3333333333333333
2045,shoot,range,507.0,327.3071951546437,0.9722222222222222,0.16666666666666666,0.0666666666666666
2046,shoot,none,446.0,,1.0,,0.0555555555555555
2047,shoot,popeye,482.85714285714283,126.66565809283969,1.0,0.0,0.0
2048,shoot,gun,499.23943661971833,323.3974761271218,1.0,0.0,0.0833333333333333
2049,shoot,difficulty,481.80281690140845,142.56593659660078,1.0,0.0,0.0555555555555555
2050,west,south,511.40909090909093,137.11738616912157,1.0,0.0,0.25
2051,west,nerd,530.86,145.12387530545575,1.0,0.0,0.1111111111111111
2052,west,personality,510.85,120.34560990241735,0.9875,0.11180339887498948,0.1111111111111111
2053,west,east,516.027027027027,152.0989199544636,1.0,0.0,0.0769230769230769
2054,fist,tumble,612.7234042553191,261.06878771593745,0.8936170212765957,0.30998040542939415,0.0526315789473684
2055,fist,stair,655.0,,1.0,,0.0666666666666666
2056,fist,fight,554.4918032786885,151.50386386170925,0.9180327868852459,0.27659127289275987,0.0666666666666666
2057,fist,grasp,558.4,195.41498249779974,0.95,0.22072142786315227,0.0588235294117647
2058,fist,fugitive,561.9375,124.00315820446208,0.9375,0.24462302739504083,0.0909090909090909
2059,even,truce,574.6578947368421,208.46649947535641,0.9736842105263158,0.16113631583445662,0.0909090909090909
2060,even,creator,752.0,,1.0,,0.0769230769230769
2061,even,knees,548.0232558139535,149.71599914060988,0.9767441860465116,0.15249857033260467,0.0666666666666666
2062,even,shelf,581.2727272727273,185.60556091460256,0.9636363636363636,0.1889185954061582,0.0666666666666666
2063,even,level,554.8730158730159,122.79769516376112,0.9682539682539683,0.17673143177130224,0.1111111111111111
2064,let,allow,537.7936507936508,165.60944716801467,0.9841269841269841,0.1259881576697424,0.1
2065,let,illness,843.0,,1.0,,0.0714285714285714
2066,let,permit,545.3815789473684,182.03376735139102,0.9868421052631579,0.1147078669352809,0.0769230769230769
2067,let,stumble,564.0212765957447,264.2031077526549,1.0,0.0,0.0588235294117647
2068,let,gander,511.74074074074076,138.34182237598606,1.0,0.0,0.0454545454545454
2069,willing,do,544.6274509803922,205.71494459900708,1.0,0.0,0.1111111111111111
2070,willing,shave,689.0,,1.0,,0.1111111111111111
2071,willing,music,571.8363636363637,139.77929211814785,1.0,0.0,0.1
2072,willing,able,556.4222222222222,174.30934999290628,1.0,0.0,0.1
2073,willing,eager,516.6363636363636,125.47392290493514,1.0,0.0,0.0833333333333333
2074,room,usa,565.0487804878048,195.49935437483063,0.975609756097561,0.15617376188860607,0.0769230769230769
2075,room,isolated,532.2407407407408,177.81704984206462,1.0,0.0,0.0714285714285714
2076,room,exist,564.9285714285714,244.0657024771105,0.9880952380952381,0.10910894511799618,0.1
2077,room,chamber,511.84313725490193,149.129389799465,1.0,0.0,0.25
2078,clam,shell,621.6590909090909,342.10381554888835,0.8409090909090909,0.3699894290244683,0.0769230769230769
2079,clam,sweetheart,480.0,,1.0,,0.1111111111111111
2080,clam,sack,581.9672131147541,220.01196688764568,0.8360655737704918,0.3732884438274,0.0769230769230769
2081,clam,testify,599.2872340425532,241.4237172133828,0.8936170212765957,0.3099804054293941,0.0625
2082,clam,oyster,560.95,179.13194535356848,0.95,0.22072142786315227,0.3333333333333333
2083,husband,gullible,554.1969696969697,117.00666906659896,1.0,0.0,0.1
2084,husband,loyalty,523.08,101.48405725802955,0.98,0.14142135623730948,0.0833333333333333
2085,husband,spouse,535.25,138.095206812468,1.0,0.0,0.5
2086,husband,ivy,532.0512820512821,117.13845804677578,1.0,0.0,0.1111111111111111
2087,health,tape,502.9367088607595,131.70473403988453,0.9746835443037974,0.1580882214188629,0.0625
2088,health,hell,729.0,,1.0,,0.0666666666666666
2089,health,mental,526.2894736842105,80.62254660662317,1.0,0.0,0.0833333333333333
2090,health,condition,560.4202898550725,279.8986374195604,1.0,0.0,0.125
2091,health,street,564.7924528301887,238.91802251066449,1.0,0.0,0.0555555555555555
2092,prom,tuxedo,556.0166666666667,161.6026190913227,1.0,0.0,0.0526315789473684
2093,prom,blues,775.0,,1.0,,0.0714285714285714
2094,prom,limousine,561.8301886792453,186.4331944536554,1.0,0.0,0.0476190476190476
2095,prom,exercise,555.2727272727273,170.9086234680906,0.9818181818181818,0.13483997249264842,0.0769230769230769
2096,prom,burden,549.3698630136986,131.79787838130895,0.9863013698630136,0.11704114719613058,0.0714285714285714
2097,start,porcelain,536.25,129.9817294853396,0.9807692307692307,0.13867504905630726,0.0625
2098,start,end,490.54761904761904,128.5567545504096,1.0,0.0,0.0769230769230769
2099,start,crew,515.3333333333334,162.11375934121673,1.0,0.0,0.0909090909090909
2100,start,finish,491.735632183908,151.7488331643669,1.0,0.0,0.0909090909090909
2101,sunset,after,498.51851851851853,117.19854798842002,0.9814814814814815,0.13608276348795434,0.0833333333333333
2102,sunset,like,540.0,,1.0,,0.0769230769230769
2103,sunset,gathering,562.439024390244,179.3884122205902,1.0,0.0,0.0833333333333333
2104,sunset,sunrise,505.5813953488372,100.04569133989305,0.9883720930232558,0.10783277320343843,0.3333333333333333
2105,sunset,dusk,524.6507936507936,119.02604197701777,1.0,0.0,0.3333333333333333
2106,strong,heroine,563.1724137931035,185.53168149856623,1.0,0.0,0.0833333333333333
2107,strong,haunt,458.0,,1.0,,0.1111111111111111
2108,strong,executive,489.2,148.0859336669084,1.0,0.0,0.0909090909090909
2109,strong,powerful,484.62857142857143,125.80905377762905,1.0,0.0,0.3333333333333333
2110,strong,muscle,471.51063829787233,107.69337962382419,1.0,0.0,0.1
2111,queen,dragon,511.74603174603175,129.88580198227834,0.9841269841269841,0.1259881576697424,0.0476190476190476
2112,queen,range,512.0,,1.0,,0.0588235294117647
2113,queen,brook,570.5625,168.72847305374282,1.0,0.0,0.0714285714285714
2114,queen,breakfast,575.3770491803278,174.5752143475152,1.0,0.0,0.0625
2115,queen,king,533.4146341463414,221.50360895589895,1.0,0.0,0.1
2116,stamp,flood,535.8709677419355,129.07045671143698,1.0,0.0,0.0833333333333333
2117,stamp,postage,540.5189873417721,203.41437187706492,1.0,0.0,0.0833333333333333
2118,stamp,collect,506.28205128205127,132.41649144320056,1.0,0.0,0.0833333333333333
2119,stamp,drunk,504.35714285714283,139.98979554647136,1.0,0.0,0.0769230769230769
2120,dependable,reliable,554.123076923077,147.8429812854997,1.0,0.0,1.0
2121,dependable,responsible,623.8961038961039,200.28575536070986,0.987012987012987,0.11396057645963796,0.3333333333333333
2122,dependable,community,620.0384615384615,196.83883738599218,1.0,0.0,0.125
2123,dependable,victim,625.3170731707318,217.983077212933,1.0,0.0,0.1111111111111111
2124,read,jello,584.746835443038,263.8279095456768,0.9620253164556962,0.192356371638255,0.0769230769230769
2125,read,novel,549.6216216216217,146.95565305208223,1.0,0.0,0.0588235294117647
2126,read,dinosaur,559.7666666666667,179.36482721798566,0.95,0.21978417765108277,0.0625
2127,read,book,516.6078431372549,109.30509200057837,1.0,0.0,0.3333333333333333
